title,category,winner
너무 귀여워서 기절  소리까지 짱짱한 핑구 블루투스 스피커    만원대,테크·가전,1
 꼬마 소방관 나의 안전에  쁠랙스 하는 날 양치기 화재감지기 이제 그만,테크·가전,0
   세대     일체형     역대급 스펙의 정체    가 해냈습니다 ,테크·가전,1
빅토리 무선 정전식 분무기로 살균 및 소독 해보세요  ,테크·가전,0
진짜가 돌아왔다    종 풀세트 달인파워툴 오리지널  앵콜요청  ,테크·가전,1
  억펀딩 브랜드  아웃도어 에어컨으로 덥고 찝찝한 캠핑은 이제 그만 ,테크·가전,1
디자인부터 다르다  공기 중 세균       분해 초강력 공기살균기,테크·가전,0
  만원대 수납 가능 안마의자     에어셀로 마사지샵 온 기분,테크·가전,1
 진짜 불멍  캠핑 감성  라르츠 불멍 블루투스 스피커  최초 공개  ,테크·가전,1
우리가족 안전 그린라이트          공간 살균조명  테라피     ,테크·가전,0
필립스 무설치 정수기 커피 차 라면 분유까지  온도 양 조절이 자유자재 ,테크·가전,1
              기계식 키보드 핑크   민트 리미티드 에디션,테크·가전,1
 완벽시간관리   분 초 소중하게  쉬운 조작법 홈트 공부 순공타이머이지,테크·가전,0
  초 매직 핸디 쿨 핫 으로 땀 뻘뻘 여름  시원하게 이겨내자 ,테크·가전,1
 누적  억 우산  어서와   자형 손잡이는 처음이지 ,패션·잡화,1
 이보다 완벽할순없다     의         와인 칠러 바게트 백,패션·잡화,0
    년 명품 바레니아가죽에 담긴     년 역사 한글 자음팔찌,패션·잡화,0
 지구를 살리자  옥수수 원료로 만든 가볍고 심플한 친환경 우산,패션·잡화,0
제철코디  이대로만 입으세요  가성비에 내구성까지 갖춘 반팔티 캠프캡,패션·잡화,0
    외부배너와 폐타이어가 가방이 된다  업사이클링 끝판왕 더크래프트,패션·잡화,0
 이태리 소가죽       핸드메이드 한정수량 제작 고퀄리티 데일리백,패션·잡화,0
나도 입을 수 있을까  전통으로 더위를 날리자   여름 한복 셋업 ,패션·잡화,0
 프리미엄 모달 티셔츠  가지 넥라인  티셔츠만 입어도 예쁜 당신을 위해,패션·잡화,0
   컬러    만원대  아직도 여름에 면 티셔츠 입으세요 ,패션·잡화,1
 역대급 펀딩 혜택  여행자를 위한 샌들  프리워터스 슈프림  라호야,패션·잡화,1
우주를 줄게 손가락 위에 행성  별똥별 탄생석 반지 ,패션·잡화,0
 백화점  홈쇼핑에서                   주얼리  빌롱투유 ,패션·잡화,0
